::[info]::[18:33:47,620]::[154310]::Starting P2P aab1::
::[info]::[18:34:05,093]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 16)::
::[info]::[18:34:05,260]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 8)::
::[info]::[18:34:05,433]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 16)::
::[info]::[18:34:06,093]::[154310]::aab1 on_clock(): 1697567646.093123 | publish ('aab1', 17)::
::[info]::[18:34:06,094]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 17)::
::[info]::[18:34:06,261]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 9)::
::[info]::[18:34:06,434]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 17)::
::[info]::[18:34:07,095]::[154310]::aab1 on_clock(): 1697567647.094468 | publish ('aab1', 18)::
::[info]::[18:34:07,096]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 18)::
::[info]::[18:34:07,263]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 10)::
::[info]::[18:34:07,435]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 18)::
::[info]::[18:34:08,096]::[154310]::aab1 on_clock(): 1697567648.0957727 | publish ('aab1', 19)::
::[info]::[18:34:08,097]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 19)::
::[info]::[18:34:08,264]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 11)::
::[info]::[18:34:08,437]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 19)::
::[info]::[18:34:09,097]::[154310]::aab1 on_clock(): 1697567649.0971067 | publish ('aab1', 20)::
::[info]::[18:34:09,098]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 20)::
::[info]::[18:34:09,265]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 12)::
::[info]::[18:34:09,438]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 20)::
::[info]::[18:34:10,098]::[154310]::aab1 on_clock(): 1697567650.0984495 | publish ('aab1', 21)::
::[info]::[18:34:10,099]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 21)::
::[info]::[18:34:10,267]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 13)::
::[info]::[18:34:10,439]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 21)::
::[info]::[18:34:11,100]::[154310]::aab1 on_clock(): 1697567651.0997627 | publish ('aab1', 22)::
::[info]::[18:34:11,101]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 22)::
::[info]::[18:34:11,268]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('11c5', 14)::
::[info]::[18:34:11,440]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('2f37', 22)::
::[info]::[18:34:12,101]::[154310]::aab1 on_clock(): 1697567652.1010754 | publish ('aab1', 23)::
::[info]::[18:34:12,102]::[154310]::aab1 on_p2p_sub() | connected: 3 | msg: ('aab1', 23)::
