::[info]::[18:23:20,283]::[152387]::Starting P2P 111::
::[info]::[18:23:21,736]::[152387]::111 on_clock(): 1697567001.7360559 | publish (111, 0)::
::[info]::[18:23:21,737]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 0)::
::[info]::[18:23:22,738]::[152387]::111 on_clock(): 1697567002.7374175 | publish (111, 1)::
::[info]::[18:23:22,738]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 1)::
::[info]::[18:23:22,812]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 0)::
::[info]::[18:23:23,739]::[152387]::111 on_clock(): 1697567003.7387254 | publish (111, 2)::
::[info]::[18:23:23,740]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 2)::
::[info]::[18:23:23,813]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 1)::
::[info]::[18:23:24,740]::[152387]::111 on_clock(): 1697567004.7400346 | publish (111, 3)::
::[info]::[18:23:24,741]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 3)::
::[info]::[18:23:24,814]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 2)::
::[info]::[18:23:25,741]::[152387]::111 on_clock(): 1697567005.7413402 | publish (111, 4)::
::[info]::[18:23:25,742]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 4)::
::[info]::[18:23:25,815]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 3)::
::[info]::[18:23:26,743]::[152387]::111 on_clock(): 1697567006.7426226 | publish (111, 5)::
::[info]::[18:23:26,743]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 5)::
::[info]::[18:23:26,817]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 4)::
::[info]::[18:23:27,744]::[152387]::111 on_clock(): 1697567007.7439086 | publish (111, 6)::
::[info]::[18:23:27,745]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 6)::
::[info]::[18:23:27,818]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 5)::
::[info]::[18:23:28,745]::[152387]::111 on_clock(): 1697567008.7451916 | publish (111, 7)::
::[info]::[18:23:28,746]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 7)::
::[info]::[18:23:28,819]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 6)::
::[info]::[18:23:29,747]::[152387]::111 on_clock(): 1697567009.746499 | publish (111, 8)::
::[info]::[18:23:29,747]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 8)::
::[info]::[18:23:29,821]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 7)::
::[info]::[18:23:30,748]::[152387]::111 on_clock(): 1697567010.7477922 | publish (111, 9)::
::[info]::[18:23:30,749]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 9)::
::[info]::[18:23:30,822]::[152387]::111 on_p2p_sub() | connected: 2 | msg: (111, 8)::
::[info]::[18:24:58,287]::[152930]::Starting P2P aab1::
::[info]::[18:24:59,737]::[152930]::aab1 on_clock(): 1697567099.7364807 | publish ('aab1', 0)::
::[info]::[18:24:59,737]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 0)::
::[info]::[18:25:00,538]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 0)::
::[info]::[18:25:00,738]::[152930]::aab1 on_clock(): 1697567100.7378068 | publish ('aab1', 1)::
::[info]::[18:25:00,739]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 1)::
::[info]::[18:25:01,540]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 1)::
::[info]::[18:25:01,739]::[152930]::aab1 on_clock(): 1697567101.7391207 | publish ('aab1', 2)::
::[info]::[18:25:01,740]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 2)::
::[info]::[18:25:02,541]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 2)::
::[info]::[18:25:02,741]::[152930]::aab1 on_clock(): 1697567102.7404516 | publish ('aab1', 3)::
::[info]::[18:25:02,741]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 3)::
::[info]::[18:25:03,541]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 3)::
::[info]::[18:25:03,742]::[152930]::aab1 on_clock(): 1697567103.741771 | publish ('aab1', 4)::
::[info]::[18:25:03,743]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 4)::
::[info]::[18:25:04,542]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 4)::
::[info]::[18:25:04,743]::[152930]::aab1 on_clock(): 1697567104.7430792 | publish ('aab1', 5)::
::[info]::[18:25:04,744]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 5)::
::[info]::[18:25:05,544]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 5)::
::[info]::[18:25:05,744]::[152930]::aab1 on_clock(): 1697567105.7443895 | publish ('aab1', 6)::
::[info]::[18:25:05,745]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 6)::
::[info]::[18:25:06,545]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 6)::
::[info]::[18:25:06,746]::[152930]::aab1 on_clock(): 1697567106.74569 | publish ('aab1', 7)::
::[info]::[18:25:06,747]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 7)::
::[info]::[18:25:07,546]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 7)::
::[info]::[18:25:07,747]::[152930]::aab1 on_clock(): 1697567107.7469952 | publish ('aab1', 8)::
::[info]::[18:25:07,748]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 8)::
::[info]::[18:25:08,548]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 8)::
::[info]::[18:25:08,748]::[152930]::aab1 on_clock(): 1697567108.748306 | publish ('aab1', 9)::
::[info]::[18:25:08,749]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 9)::
::[info]::[18:25:09,549]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 9)::
::[info]::[18:25:09,750]::[152930]::aab1 on_clock(): 1697567109.7496288 | publish ('aab1', 10)::
::[info]::[18:25:09,750]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 10)::
::[info]::[18:25:10,550]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 10)::
::[info]::[18:25:10,751]::[152930]::aab1 on_clock(): 1697567110.7509434 | publish ('aab1', 11)::
::[info]::[18:25:10,752]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 11)::
::[info]::[18:25:11,551]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 11)::
::[info]::[18:25:11,752]::[152930]::aab1 on_clock(): 1697567111.7522433 | publish ('aab1', 12)::
::[info]::[18:25:11,753]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 12)::
::[info]::[18:25:12,553]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 12)::
::[info]::[18:25:12,754]::[152930]::aab1 on_clock(): 1697567112.7535698 | publish ('aab1', 13)::
::[info]::[18:25:12,754]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 13)::
::[info]::[18:25:13,554]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 13)::
::[info]::[18:25:13,755]::[152930]::aab1 on_clock(): 1697567113.754896 | publish ('aab1', 14)::
::[info]::[18:25:13,756]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 14)::
::[info]::[18:25:14,556]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 14)::
::[info]::[18:25:14,756]::[152930]::aab1 on_clock(): 1697567114.7562158 | publish ('aab1', 15)::
::[info]::[18:25:14,757]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 15)::
::[info]::[18:25:15,557]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 15)::
::[info]::[18:25:15,758]::[152930]::aab1 on_clock(): 1697567115.7575305 | publish ('aab1', 16)::
::[info]::[18:25:15,758]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 16)::
::[info]::[18:25:16,557]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 16)::
::[info]::[18:25:16,759]::[152930]::aab1 on_clock(): 1697567116.7588382 | publish ('aab1', 17)::
::[info]::[18:25:16,760]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 17)::
::[info]::[18:25:17,559]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('2f37', 17)::
::[info]::[18:25:17,760]::[152930]::aab1 on_clock(): 1697567117.7601314 | publish ('aab1', 18)::
::[info]::[18:25:17,761]::[152930]::aab1 on_p2p_sub() | connected: 2 | msg: ('aab1', 18)::
